# Time-averaged data for fix msd
# TimeStep c_msdO[1] c_msdO[2] c_msdO[3] c_msdO[4]
0 0 0 0 0
1000 0.540319 0.571518 0.502603 1.61444
2000 1.25762 1.19142 1.24265 3.69169
3000 1.85307 1.64788 1.92296 5.42391
4000 2.45842 2.24229 2.22135 6.92205
5000 2.77351 2.73692 2.58753 8.09797
6000 3.00057 2.86688 3.03916 8.90662
7000 3.55649 3.38976 3.5646 10.5108
8000 4.13394 3.78893 3.85605 11.7789
9000 4.67751 4.33623 4.24397 13.2577
10000 5.20722 4.79628 4.7301 14.7336
11000 5.66786 5.0071 5.42181 16.0968
12000 5.84583 5.47471 5.88894 17.2095
13000 6.34472 5.77318 6.49884 18.6167
14000 6.8105 6.20258 6.82964 19.8427
15000 7.01554 6.25633 6.92035 20.1922
16000 7.12251 6.68064 7.38252 21.1857
17000 7.49763 7.28307 8.1548 22.9355
18000 7.85209 7.83335 8.4815 24.1669
19000 8.10407 8.01128 8.80392 24.9193
20000 8.56711 8.2625 9.33002 26.1596
21000 8.85868 8.39625 9.65421 26.9091
22000 9.18393 8.7952 10.1075 28.0866
23000 9.29746 9.0563 10.5036 28.8574
24000 9.53916 9.4944 11.0316 30.0651
25000 9.5585 9.73511 11.1437 30.4373
26000 9.53959 9.81858 11.3428 30.701
27000 9.98193 10.1872 11.7685 31.9377
28000 10.3636 10.5504 12.022 32.936
29000 10.6126 10.7953 12.2811 33.6889
30000 10.6087 10.827 12.3516 33.7874
31000 10.6463 10.949 12.7672 34.3625
32000 11.0226 11.0553 12.9267 35.0046
33000 11.4639 11.3417 12.9443 35.7499
34000 11.6698 11.4988 13.4514 36.6201
35000 11.9003 11.4729 13.387 36.7602
36000 11.9608 11.615 13.6133 37.1891
37000 11.9183 12.1056 13.7333 37.7572
38000 12.1927 12.3735 13.9135 38.4797
39000 12.1641 12.1209 13.9246 38.2097
40000 12.4389 12.6376 14.7136 39.79
41000 12.4482 12.6074 14.7179 39.7735
42000 12.7467 12.7746 15.0643 40.5856
43000 13.0038 13.0039 14.9317 40.9394
44000 12.7041 13.0923 15.2255 41.0219
45000 12.91 13.2228 14.934 41.0669
46000 12.7616 13.774 15.1164 41.652
47000 13.3093 13.9081 15.4064 42.6238
48000 13.0906 13.9298 15.2886 42.309
49000 13.2254 14.2782 15.6669 43.1704
50000 13.1215 14.3689 15.6936 43.1839
51000 13.4145 14.6332 15.9578 44.0056
52000 13.4849 14.465 15.9376 43.8875
53000 13.5401 15.0516 15.7384 44.3301
54000 13.7112 15.2694 15.6006 44.5813
55000 13.9958 15.8086 16.702 46.5063
56000 13.4421 15.5858 16.4402 45.4681
57000 13.8784 15.728 16.6843 46.2906
58000 14.1054 16.0176 16.6015 46.7244
59000 14.1747 16.366 16.9641 47.5047
60000 14.0076 16.4736 16.9814 47.4626
61000 14.6176 16.6673 17.1366 48.4215
62000 14.3879 16.7358 17.1014 48.2251
63000 14.2144 16.3271 17.1748 47.7163
64000 14.4269 16.4953 17.7481 48.6704
65000 14.6726 16.6297 18.0444 49.3467
66000 14.6165 17.0538 18.03 49.7003
67000 14.9357 16.905 18.1456 49.9864
68000 14.493 16.6904 18.1398 49.3233
69000 14.3645 16.7748 18.2353 49.3746
70000 14.8996 16.7394 18.16 49.799
71000 15.2705 17.2729 19.13 51.6734
72000 15.0346 16.961 18.8489 50.8445
73000 15.1837 16.9302 18.9893 51.1031
74000 15.2715 17.5819 19.4287 52.2821
75000 15.454 17.6405 19.615 52.7096
76000 15.8495 17.6508 19.6633 53.1636
77000 15.6849 17.8698 20.1223 53.677
78000 16.0706 18.126 20.2565 54.4532
79000 16.0991 18.0344 20.0993 54.2327
80000 16.2688 17.8424 20.2903 54.4015
81000 16.6082 18.0063 20.1536 54.7682
82000 16.5787 18.2252 20.2626 55.0664
83000 16.8108 18.3368 20.0816 55.2292
84000 16.7602 18.4991 20.1356 55.395
85000 17.0278 18.6451 20.3207 55.9936
86000 17.2486 18.8324 20.0732 56.1541
87000 17.3804 18.9988 20.2986 56.6777
88000 17.7955 19.0254 20.4886 57.3095
89000 17.8461 19.2044 20.2804 57.3309
90000 17.7611 19.3268 20.3874 57.4753
91000 17.5267 19.2374 20.45 57.2142
92000 17.828 19.0685 20.7165 57.6129
93000 18.0824 19.3794 21.1254 58.5872
94000 18.3065 19.6075 21.1246 59.0385
95000 18.1443 19.7404 21.1811 59.0658
96000 18.3726 20.2772 21.6154 60.2651
97000 18.6062 20.2169 21.5763 60.3994
98000 18.6246 19.9712 21.4741 60.07
99000 19.0198 20.1546 21.5436 60.718
100000 18.7617 20.1886 21.7133 60.6636
101000 19.2819 20.3155 21.8099 61.4074
102000 19.5177 20.5741 21.6961 61.7879
103000 19.7274 20.6433 22.1557 62.5264
104000 19.7527 20.6759 21.8231 62.2518
105000 20.0094 20.6838 22.1994 62.8925
106000 19.7848 20.7107 21.8031 62.2985
107000 19.959 20.8268 22.061 62.8468
108000 19.9547 20.7271 22.5674 63.2492
109000 20.4634 21.198 22.8075 64.4689
110000 20.8006 21.3322 22.9816 65.1143
111000 20.2675 21.4103 22.7697 64.4475
112000 20.7192 21.3688 22.6937 64.7818
113000 20.5775 21.3364 22.7188 64.6327
114000 20.7745 21.1825 23.1316 65.0885
115000 20.5675 21.1838 22.9784 64.7298
116000 21.0344 21.684 23.0643 65.7828
117000 20.9728 21.1219 23.3032 65.398
118000 20.8977 21.5088 23.0108 65.4173
119000 21.1997 21.1682 23.5305 65.8983
120000 21.135 21.6092 23.4543 66.1985
121000 21.3284 21.4015 23.55 66.2799
122000 21.5039 21.6623 23.2908 66.457
123000 21.4492 21.5818 23.5978 66.6288
124000 21.5059 21.4898 23.8298 66.8255
125000 21.5141 21.8694 24.4083 67.7918
126000 21.5028 21.6032 23.889 66.9951
127000 21.7993 22.0729 24.0034 67.8756
128000 21.8453 21.9515 24.016 67.8128
129000 22.1323 22.1422 23.9819 68.2563
130000 22.2845 22.542 24.3409 69.1674
131000 22.2527 22.4643 24.37 69.0869
132000 22.4509 22.6545 24.4001 69.5055
133000 22.5776 22.4845 24.5898 69.6519
134000 22.3895 22.7743 24.5582 69.7221
135000 22.0125 22.6687 24.2691 68.9504
136000 22.2934 22.5876 24.6176 69.4987
137000 22.3638 22.7679 24.244 69.3757
138000 22.1983 22.8266 24.6039 69.6288
139000 22.5832 23.1191 24.357 70.0593
140000 22.399 23.2384 24.6011 70.2386
141000 22.6672 23.1017 24.4096 70.1784
142000 22.8626 23.3085 24.7557 70.9268
143000 22.6814 23.4731 24.9477 71.1023
144000 23.311 23.1623 25.2829 71.7563
145000 22.8965 23.4025 25.1717 71.4706
146000 22.7923 23.3746 24.9035 71.0704
147000 23.0748 23.6815 25.2142 71.9704
148000 23.4449 23.7546 24.7929 71.9924
149000 23.518 23.481 25.1731 72.1721
150000 23.4924 23.7432 25.3262 72.5619
151000 23.2585 23.5133 25.5312 72.303
152000 23.3485 23.6858 25.4242 72.4586
153000 23.2166 23.697 25.4643 72.3779
154000 23.7118 23.8747 26.028 73.6145
155000 23.4542 23.6715 25.9712 73.0969
156000 23.9344 23.8114 26.6846 74.4304
157000 23.4977 23.6965 26.1107 73.305
158000 23.7808 23.9707 26.3507 74.1022
159000 23.5273 23.7294 25.9825 73.2393
160000 23.7253 24.0177 26.1302 73.8732
161000 23.7961 23.6941 26.119 73.6092
162000 23.5915 23.5153 25.9522 73.059
163000 23.7767 23.3121 26.4719 73.5607
164000 24.0294 24.1974 26.4715 74.6983
165000 24.2136 23.9135 26.1643 74.2914
166000 24.4465 23.5818 25.9255 73.9537
167000 24.5325 23.6588 26.0915 74.2828
168000 24.3941 24.0307 26.2444 74.6693
169000 24.6844 23.9387 26.1537 74.7768
170000 24.7372 24.1887 25.9832 74.9091
171000 24.4831 24.1845 26.148 74.8156
172000 24.7603 24.183 26.3507 75.2939
173000 24.775 24.2333 25.9124 74.9207
174000 24.6487 24.9905 26.2316 75.8708
175000 25.1191 25.0746 25.9663 76.1599
176000 24.9208 24.8516 26.3243 76.0967
177000 25.0971 24.8812 25.9992 75.9776
178000 25.4091 24.653 26.7659 76.828
179000 25.1183 24.8225 26.8834 76.8242
180000 25.3784 24.8162 26.4943 76.689
181000 24.9863 25.0262 26.5963 76.6089
182000 24.9781 25.2673 26.7606 77.0059
183000 25.0144 25.457 26.6975 77.1689
184000 25.0034 25.3032 26.5649 76.8715
185000 25.407 25.6542 26.3239 77.3851
186000 25.2546 25.3173 26.3516 76.9235
187000 25.5785 25.0174 26.6125 77.2084
188000 25.3903 25.4536 26.7829 77.6268
189000 25.6448 25.496 27.2724 78.4132
190000 25.8129 25.4683 26.9925 78.2738
191000 25.9032 25.4449 27.1361 78.4842
192000 26.1968 25.7901 27.084 79.0708
193000 25.8848 25.7857 27.3319 79.0025
194000 26.3394 25.6994 27.2303 79.2692
195000 26.5596 25.6983 27.2663 79.5242
196000 26.3503 25.7621 27.1652 79.2776
197000 26.3995 26.1108 27.0344 79.5447
198000 26.4287 25.6598 26.8912 78.9796
199000 26.4623 25.5837 26.739 78.785
200000 26.5069 25.6951 27.112 79.3141
201000 26.6004 25.4408 26.9313 78.9725
202000 26.4404 25.8227 27.3496 79.6127
203000 26.5878 25.8982 27.402 79.888
204000 26.8345 25.9772 27.1683 79.98
205000 26.2525 25.8891 26.929 79.0706
206000 26.7974 25.9764 27.1294 79.9032
207000 26.6863 25.6403 26.8994 79.2261
208000 26.5235 25.9395 27.4155 79.8786
209000 26.6725 25.8565 27.3345 79.8635
210000 26.5989 26.2434 27.2499 80.0922
211000 26.5898 26.3019 27.3031 80.1948
212000 26.7198 26.508 27.2547 80.4825
213000 26.881 26.3862 27.2605 80.5277
214000 26.9827 26.2625 26.7081 79.9533
215000 27.2695 26.4612 27.0778 80.8084
216000 27.4818 26.4969 27.5332 81.5118
217000 27.6044 26.8157 27.3592 81.7793
218000 27.44 26.7181 27.4399 81.5981
219000 27.6522 27.3738 27.8285 82.8545
220000 27.6341 27.2109 27.6178 82.4628
221000 27.5929 26.99 27.5106 82.0935
222000 27.8266 27.041 27.6993 82.5669
223000 28.0172 26.8775 27.1755 82.0702
224000 27.8484 26.9593 27.6181 82.4258
225000 28.1596 27.3119 27.8307 83.3022
226000 28.3151 27.1638 27.7664 83.2453
227000 28.3117 27.6817 27.5656 83.5589
228000 28.658 27.3507 27.4944 83.5031
229000 28.3142 27.2212 27.6585 83.1939
230000 28.4574 27.8814 27.9953 84.3341
231000 28.4376 27.7536 27.9462 84.1375
232000 28.3773 28.0701 27.7131 84.1605
233000 28.4377 28.0328 28.2446 84.7151
234000 28.903 28.2487 27.905 85.0567
235000 28.5444 27.8473 28.216 84.6078
236000 28.3761 28.0079 28.3276 84.7116
237000 28.6475 28.4039 28.5527 85.604
238000 28.5343 27.5691 28.6351 84.7385
239000 27.9574 28.2722 28.5028 84.7325
240000 28.1689 28.5477 28.8856 85.6022
241000 28.3629 28.266 28.6831 85.3121
242000 27.7843 28.6827 29.1067 85.5738
243000 28.1747 28.467 28.9247 85.5665
244000 28.4283 28.6234 28.8299 85.8816
245000 28.6003 28.7851 29.1739 86.5592
246000 28.3001 28.5933 28.7407 85.6341
247000 28.6911 28.6 28.938 86.229
248000 28.2017 29.0075 29.0604 86.2696
249000 28.4498 28.9214 28.9514 86.3226
250000 27.9865 29.156 28.825 85.9675
251000 28.3596 29.1814 29.0805 86.6215
252000 27.8557 28.9753 29.2102 86.0411
253000 28.2755 29.0638 29.2291 86.5684
254000 28.4254 29.1806 29.4153 87.0213
255000 28.3474 29.2908 29.3103 86.9485
256000 28.1898 29.256 29.5405 86.9863
257000 28.5408 29.5226 29.2438 87.3072
258000 28.2513 29.2079 29.4549 86.9142
259000 28.4142 29.3451 29.595 87.3543
260000 28.095 29.3496 29.1492 86.5939
261000 28.4162 29.462 29.5459 87.4241
262000 28.5642 29.6493 29.8197 88.0332
263000 28.6889 29.864 29.8738 88.4266
264000 28.9963 29.4401 29.8515 88.2878
265000 29.4236 29.9827 29.7853 89.1916
266000 28.7752 29.7557 29.9857 88.5166
267000 28.9871 30.2173 30.2479 89.4522
268000 29.208 30.1796 30.2698 89.6574
269000 29.4996 30.6091 30.5195 90.6282
270000 28.949 30.2606 30.1358 89.3455
271000 29.6916 30.5723 30.483 90.7469
272000 29.2674 30.3652 30.1332 89.7658
273000 29.8562 30.5927 30.3 90.7488
274000 29.8188 30.7908 30.5495 91.1591
275000 29.5172 30.8995 30.6451 91.0617
276000 29.7062 30.9003 30.6536 91.26
277000 29.8788 30.8243 30.358 91.061
278000 29.9652 31.0784 30.2883 91.3319
279000 30.0056 31.6332 30.2187 91.8576
280000 30.266 31.0097 30.2526 91.5283
281000 29.9898 31.0828 30.1715 91.2441
282000 30.2318 30.9788 30.5429 91.7535
283000 30.2675 31.2919 30.695 92.2545
284000 30.3965 31.2863 31.1821 92.8649
285000 30.3704 31.2894 31.3217 92.9816
286000 31.2325 31.6552 31.1537 94.0414
287000 30.8856 31.6373 31.164 93.6869
288000 31.1081 31.4807 31.2461 93.8349
289000 30.7749 31.8559 31.3347 93.9655
290000 30.9014 31.6646 31.3963 93.9623
291000 30.7232 31.9501 31.4123 94.0855
292000 30.8622 32.0527 31.7174 94.6323
293000 30.7842 32.4238 31.261 94.469
294000 30.811 32.2429 31.6721 94.726
295000 31.2698 32.005 31.562 94.8368
296000 31.5349 32.2371 31.772 95.544
297000 32.1172 32.5973 31.9577 96.6722
