# Time-averaged data for fix msd
# TimeStep c_msdO[1] c_msdO[2] c_msdO[3] c_msdO[4]
0 0 0 0 0
1000 0.540319 0.571518 0.502603 1.61444
2000 1.25762 1.19142 1.24265 3.69169
3000 1.85307 1.64788 1.92296 5.42391
4000 2.45842 2.24229 2.22135 6.92205
5000 2.77351 2.73692 2.58753 8.09797
6000 3.00057 2.86688 3.03916 8.90662
7000 3.55649 3.38976 3.5646 10.5108
8000 4.13394 3.78893 3.85605 11.7789
9000 4.67751 4.33623 4.24397 13.2577
10000 5.20722 4.79628 4.7301 14.7336
11000 5.66786 5.0071 5.42181 16.0968
12000 5.84583 5.47471 5.88894 17.2095
13000 6.34472 5.77318 6.49884 18.6167
14000 6.8105 6.20258 6.82964 19.8427
15000 7.01554 6.25633 6.92035 20.1922
16000 7.12251 6.68064 7.38252 21.1857
17000 7.49763 7.28307 8.1548 22.9355
18000 7.85209 7.83335 8.4815 24.1669
19000 8.10407 8.01128 8.80392 24.9193
20000 8.56711 8.2625 9.33002 26.1596
21000 8.85868 8.39625 9.65421 26.9091
22000 9.18393 8.7952 10.1075 28.0866
23000 9.29746 9.0563 10.5036 28.8574
24000 9.53916 9.4944 11.0316 30.0651
25000 9.5585 9.73511 11.1437 30.4373
26000 9.53959 9.81858 11.3428 30.701
27000 9.98193 10.1872 11.7685 31.9377
28000 10.3636 10.5504 12.022 32.936
29000 10.6126 10.7953 12.2811 33.6889
30000 10.6087 10.827 12.3516 33.7874
31000 10.6463 10.949 12.7672 34.3625
32000 11.0226 11.0553 12.9267 35.0046
33000 11.4639 11.3417 12.9443 35.7499
34000 11.6698 11.4988 13.4514 36.6201
35000 11.9003 11.4729 13.387 36.7602
36000 11.9608 11.615 13.6133 37.1891
37000 11.9183 12.1056 13.7333 37.7572
38000 12.1927 12.3735 13.9135 38.4797
39000 12.1641 12.1209 13.9246 38.2097
40000 12.4389 12.6376 14.7136 39.79
41000 12.4482 12.6074 14.7179 39.7735
42000 12.7467 12.7746 15.0643 40.5856
43000 13.0038 13.0039 14.9317 40.9394
44000 12.7041 13.0923 15.2255 41.0219
45000 12.91 13.2228 14.934 41.0669
46000 12.7616 13.774 15.1164 41.652
47000 13.3093 13.9081 15.4064 42.6238
48000 13.0906 13.9298 15.2886 42.309
49000 13.2254 14.2782 15.6669 43.1704
50000 13.1215 14.3689 15.6936 43.1839
51000 13.4145 14.6332 15.9578 44.0056
52000 13.4849 14.465 15.9376 43.8875
53000 13.5401 15.0516 15.7384 44.3301
54000 13.7112 15.2694 15.6006 44.5813
55000 13.9958 15.8086 16.702 46.5063
56000 13.4421 15.5858 16.4402 45.4681
57000 13.8784 15.728 16.6843 46.2906
58000 14.1054 16.0176 16.6015 46.7244
59000 14.1747 16.366 16.9641 47.5047
60000 14.0076 16.4736 16.9814 47.4626
61000 14.6176 16.6673 17.1366 48.4215
62000 14.3879 16.7358 17.1014 48.2251
63000 14.2144 16.3271 17.1748 47.7163
64000 14.4269 16.4953 17.7481 48.6704
65000 14.6726 16.6297 18.0444 49.3467
66000 14.6165 17.0538 18.03 49.7003
67000 14.9357 16.905 18.1456 49.9864
68000 14.493 16.6904 18.1398 49.3233
69000 14.3645 16.7748 18.2353 49.3746
70000 14.8996 16.7394 18.16 49.799
71000 15.2705 17.2729 19.13 51.6734
72000 15.0346 16.961 18.8489 50.8445
73000 15.1837 16.9302 18.9893 51.1031
74000 15.2715 17.5819 19.4287 52.2821
75000 15.454 17.6405 19.615 52.7096
76000 15.8495 17.6508 19.6633 53.1636
77000 15.6849 17.8698 20.1223 53.677
78000 16.0706 18.126 20.2565 54.4532
79000 16.0991 18.0344 20.0993 54.2327
80000 16.2688 17.8424 20.2903 54.4015
81000 16.6082 18.0063 20.1536 54.7682
82000 16.5787 18.2252 20.2626 55.0664
83000 16.8108 18.3368 20.0816 55.2292
84000 16.7602 18.4991 20.1356 55.395
85000 17.0278 18.6451 20.3207 55.9936
86000 17.2486 18.8324 20.0732 56.1541
87000 17.3804 18.9988 20.2986 56.6777
88000 17.7955 19.0254 20.4886 57.3095
89000 17.8461 19.2044 20.2804 57.3309
90000 17.7611 19.3268 20.3874 57.4753
91000 17.5267 19.2374 20.45 57.2142
92000 17.828 19.0685 20.7165 57.6129
93000 18.0824 19.3794 21.1254 58.5872
94000 18.3065 19.6075 21.1246 59.0385
95000 18.1443 19.7404 21.1811 59.0658
96000 18.3726 20.2772 21.6154 60.2651
97000 18.6062 20.2169 21.5763 60.3994
98000 18.6246 19.9712 21.4741 60.07
99000 19.0198 20.1546 21.5436 60.718
100000 18.7617 20.1886 21.7133 60.6636
101000 19.2819 20.3155 21.8099 61.4074
102000 19.5177 20.5741 21.6961 61.7879
103000 19.7274 20.6433 22.1557 62.5264
104000 19.7527 20.6759 21.8231 62.2518
105000 20.0094 20.6838 22.1994 62.8925
106000 19.7848 20.7107 21.8031 62.2985
107000 19.959 20.8268 22.061 62.8468
108000 19.9547 20.7271 22.5674 63.2492
109000 20.4634 21.198 22.8075 64.4689
110000 20.8006 21.3322 22.9816 65.1143
111000 20.2675 21.4103 22.7697 64.4475
112000 20.7192 21.3688 22.6937 64.7818
113000 20.5775 21.3364 22.7188 64.6327
114000 20.7745 21.1825 23.1316 65.0885
115000 20.5675 21.1838 22.9784 64.7298
116000 21.0344 21.684 23.0643 65.7828
117000 20.9728 21.1219 23.3032 65.398
118000 20.8977 21.5088 23.0108 65.4173
119000 21.1997 21.1682 23.5305 65.8983
120000 21.135 21.6092 23.4543 66.1985
121000 21.3284 21.4015 23.55 66.2799
122000 21.5039 21.6623 23.2908 66.457
123000 21.4492 21.5818 23.5978 66.6288
124000 21.5059 21.4898 23.8298 66.8255
125000 21.5141 21.8694 24.4083 67.7918
126000 21.5028 21.6032 23.889 66.9951
127000 21.7993 22.0729 24.0034 67.8756
128000 21.8453 21.9515 24.016 67.8128
129000 22.1323 22.1422 23.9819 68.2563
130000 22.2845 22.542 24.3409 69.1674
131000 22.2527 22.4643 24.37 69.0869
132000 22.4509 22.6545 24.4001 69.5055
133000 22.5776 22.4845 24.5898 69.6519
134000 22.3895 22.7743 24.5582 69.7221
135000 22.0125 22.6687 24.2691 68.9504
136000 22.2934 22.5876 24.6176 69.4987
137000 22.3638 22.7679 24.244 69.3757
138000 22.1983 22.8266 24.6039 69.6288
139000 22.5832 23.1191 24.357 70.0593
140000 22.399 23.2384 24.6011 70.2386
141000 22.6672 23.1017 24.4096 70.1784
142000 22.8626 23.3085 24.7557 70.9268
143000 22.6814 23.4731 24.9477 71.1023
144000 23.311 23.1623 25.2829 71.7563
145000 22.8965 23.4025 25.1717 71.4706
146000 22.7923 23.3746 24.9035 71.0704
147000 23.0748 23.6815 25.2142 71.9704
148000 23.4449 23.7546 24.7929 71.9924
149000 23.518 23.481 25.1731 72.1721
150000 23.4924 23.7432 25.3262 72.5619
151000 23.2585 23.5133 25.5312 72.303
152000 23.3485 23.6858 25.4242 72.4586
153000 23.2166 23.697 25.4643 72.3779
154000 23.7118 23.8747 26.028 73.6145
155000 23.4542 23.6715 25.9712 73.0969
156000 23.9344 23.8114 26.6846 74.4304
157000 23.4977 23.6965 26.1107 73.305
158000 23.7808 23.9707 26.3507 74.1022
159000 23.5273 23.7294 25.9825 73.2393
160000 23.7253 24.0177 26.1302 73.8732
161000 23.7961 23.6941 26.119 73.6092
162000 23.5915 23.5153 25.9522 73.059
163000 23.7767 23.3121 26.4719 73.5607
164000 24.0294 24.1974 26.4715 74.6983
165000 24.2136 23.9135 26.1643 74.2914
166000 24.4465 23.5818 25.9255 73.9537
167000 24.5325 23.6588 26.0915 74.2828
168000 24.3941 24.0307 26.2444 74.6693
169000 24.6844 23.9387 26.1537 74.7768
170000 24.7372 24.1887 25.9832 74.9091
171000 24.4831 24.1845 26.148 74.8156
172000 24.7603 24.183 26.3507 75.2939
173000 24.775 24.2333 25.9124 74.9207
174000 24.6487 24.9905 26.2316 75.8708
175000 25.1191 25.0746 25.9663 76.1599
176000 24.9208 24.8516 26.3243 76.0967
177000 25.0971 24.8812 25.9992 75.9776
178000 25.4091 24.653 26.7659 76.828
179000 25.1183 24.8225 26.8834 76.8242
180000 25.3784 24.8162 26.4943 76.689
181000 24.9863 25.0262 26.5963 76.6089
182000 24.9781 25.2673 26.7606 77.0059
183000 25.0144 25.457 26.6975 77.1689
184000 25.0034 25.3032 26.5649 76.8715
185000 25.407 25.6542 26.3239 77.3851
186000 25.2546 25.3173 26.3516 76.9235
187000 25.5785 25.0174 26.6125 77.2084
188000 25.3903 25.4536 26.7829 77.6268
189000 25.6448 25.496 27.2724 78.4132
190000 25.8129 25.4683 26.9925 78.2738
191000 25.9032 25.4449 27.1361 78.4842
192000 26.1968 25.7901 27.084 79.0708
193000 25.8848 25.7857 27.3319 79.0025
194000 26.3394 25.6994 27.2303 79.2692
195000 26.5596 25.6983 27.2663 79.5242
196000 26.3503 25.7621 27.1652 79.2776
197000 26.3995 26.1108 27.0344 79.5447
198000 26.4287 25.6598 26.8912 78.9796
199000 26.4623 25.5837 26.739 78.785
200000 26.5069 25.6951 27.112 79.3141
